epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2302,1.2602,1.666,1.05566,0.69058,0.76414,0.77224,0.47966,1.28411,1.49611,1.09782,0.0679706,0.000323529,0.000323529
2,31.5716,1.13398,0.74544,1.00547,0.81417,0.86019,0.8968,0.6038,1.12429,1.10022,1.03399,0.0349576,0.000643857,0.000643857
3,44.3879,1.1188,0.7144,1.00509,0.86667,0.87412,0.93376,0.66179,1.08692,0.92568,1.02778,0.00193138,0.000950984,0.000950984
4,56.8354,1.09774,0.67207,0.99247,0.85266,0.8523,0.91572,0.64669,1.05392,0.77576,1.00879,0.0009406,0.0009406,0.0009406
5,68.3745,1.07348,0.64419,0.97346,0.87004,0.8931,0.94253,0.66368,1.06996,0.79967,1.01607,0.0009208,0.0009208,0.0009208
6,80.4994,1.05839,0.62236,0.97371,0.87493,0.88101,0.93462,0.66881,1.03821,0.70986,0.99118,0.000901,0.000901,0.000901
7,92.4657,1.04614,0.60847,0.97525,0.8513,0.8826,0.93512,0.67991,1.02498,0.62748,0.98591,0.0008812,0.0008812,0.0008812
8,104.442,1.05225,0.60488,0.98034,0.89874,0.87148,0.94502,0.67405,1.06096,0.63803,1.00202,0.0008614,0.0008614,0.0008614
9,116.067,1.00908,0.59391,0.95761,0.8512,0.92102,0.93433,0.66306,1.05337,0.71856,0.99105,0.0008416,0.0008416,0.0008416
10,127.925,1.01896,0.59134,0.96328,0.86622,0.91782,0.93909,0.67368,1.03688,0.62613,0.98551,0.0008218,0.0008218,0.0008218
11,139.58,1.0183,0.58145,0.96642,0.86224,0.93383,0.95489,0.69398,1.03696,0.61072,0.98674,0.000802,0.000802,0.000802
12,151.595,1.0016,0.5663,0.95561,0.90615,0.90822,0.96051,0.70047,1.01586,0.56391,0.98028,0.0007822,0.0007822,0.0007822
13,163.575,0.98588,0.56124,0.95462,0.90367,0.91676,0.96143,0.70638,1.02558,0.55588,0.97836,0.0007624,0.0007624,0.0007624
14,175.575,0.97179,0.55796,0.94706,0.90272,0.91115,0.96648,0.70726,1.0419,0.56238,0.98983,0.0007426,0.0007426,0.0007426
15,187.616,0.97772,0.53732,0.94579,0.91893,0.90395,0.96716,0.7128,0.99752,0.54404,0.96902,0.0007228,0.0007228,0.0007228
16,200.035,0.96724,0.5285,0.93933,0.88477,0.92636,0.96375,0.69922,1.01508,0.58148,0.98231,0.000703,0.000703,0.000703
17,211.728,0.98257,0.5371,0.94985,0.91651,0.90288,0.9656,0.72003,0.99031,0.54176,0.96345,0.0006832,0.0006832,0.0006832
18,223.716,0.96741,0.52084,0.94829,0.90138,0.91035,0.96183,0.70965,0.98703,0.5666,0.97001,0.0006634,0.0006634,0.0006634
19,235.494,0.95217,0.51456,0.94109,0.9285,0.91676,0.97228,0.70514,1.02157,0.53565,0.98382,0.0006436,0.0006436,0.0006436
20,247.221,0.94713,0.51223,0.941,0.89603,0.91973,0.96592,0.70623,1.01232,0.56113,0.98349,0.0006238,0.0006238,0.0006238
21,258.996,0.93714,0.50796,0.93922,0.90913,0.92529,0.96505,0.72202,0.97495,0.54813,0.97,0.000604,0.000604,0.000604
22,271.297,0.93721,0.51563,0.93651,0.89265,0.93186,0.96121,0.70831,1.00771,0.60343,0.97937,0.0005842,0.0005842,0.0005842
23,283.082,0.93332,0.52344,0.93967,0.89624,0.94947,0.96146,0.72336,0.97413,0.56582,0.97096,0.0005644,0.0005644,0.0005644
24,295.128,0.92598,0.50685,0.93348,0.90168,0.92003,0.96814,0.72323,0.97027,0.55628,0.96644,0.0005446,0.0005446,0.0005446
25,306.967,0.91032,0.49764,0.92658,0.90388,0.93335,0.96808,0.72452,0.99206,0.51731,0.96585,0.0005248,0.0005248,0.0005248
26,319.195,0.91044,0.48657,0.92714,0.90784,0.94616,0.96434,0.71581,1.00931,0.5273,0.9806,0.000505,0.000505,0.000505
27,330.78,0.90259,0.48169,0.92391,0.90363,0.93067,0.96909,0.72693,0.98611,0.51889,0.96799,0.0004852,0.0004852,0.0004852
28,342.98,0.89747,0.47329,0.92435,0.91477,0.93276,0.96628,0.72689,0.99024,0.51235,0.96817,0.0004654,0.0004654,0.0004654
29,354.724,0.89773,0.47754,0.91848,0.94047,0.91142,0.96743,0.72312,0.98908,0.50753,0.96866,0.0004456,0.0004456,0.0004456
30,366.472,0.8968,0.46844,0.92521,0.91372,0.91546,0.96234,0.7215,0.99374,0.49539,0.96902,0.0004258,0.0004258,0.0004258
31,377.931,0.88701,0.47226,0.91703,0.89497,0.9413,0.97008,0.73218,0.99719,0.4908,0.96715,0.000406,0.000406,0.000406
32,389.887,0.88767,0.47087,0.92085,0.92361,0.92909,0.97042,0.72755,0.98666,0.49308,0.97005,0.0003862,0.0003862,0.0003862
33,401.492,0.88305,0.46515,0.92447,0.90491,0.93432,0.97033,0.73967,0.95424,0.50677,0.96004,0.0003664,0.0003664,0.0003664
34,413.582,0.87804,0.46477,0.91429,0.91696,0.9349,0.96519,0.73225,0.97396,0.49105,0.96037,0.0003466,0.0003466,0.0003466
35,425.561,0.85861,0.443,0.91597,0.91949,0.92638,0.96638,0.73679,0.9687,0.48699,0.95809,0.0003268,0.0003268,0.0003268
36,437.374,0.85074,0.44584,0.91466,0.92644,0.92956,0.971,0.73724,0.97773,0.47647,0.96211,0.000307,0.000307,0.000307
37,448.989,0.86116,0.44553,0.91831,0.91769,0.95193,0.97059,0.73988,0.9791,0.47178,0.96569,0.0002872,0.0002872,0.0002872
38,460.963,0.84723,0.44358,0.90906,0.8981,0.94066,0.96736,0.73165,0.96963,0.48539,0.96072,0.0002674,0.0002674,0.0002674
39,472.638,0.84034,0.43864,0.91348,0.92763,0.91996,0.97089,0.74336,0.96416,0.47712,0.95725,0.0002476,0.0002476,0.0002476
40,484.706,0.84787,0.43655,0.91132,0.91433,0.94538,0.9756,0.74523,0.97704,0.45443,0.96416,0.0002278,0.0002278,0.0002278
41,498.277,0.83187,0.41286,0.90751,0.91044,0.94023,0.96889,0.73525,0.96456,0.479,0.96503,0.000208,0.000208,0.000208
42,509.601,0.82288,0.41142,0.91012,0.92334,0.93597,0.96826,0.74278,0.96315,0.47645,0.96255,0.0001882,0.0001882,0.0001882
43,521.076,0.81626,0.40161,0.90804,0.92943,0.92768,0.96935,0.74088,0.95936,0.4691,0.95841,0.0001684,0.0001684,0.0001684
44,532.533,0.81197,0.39995,0.89794,0.92077,0.94023,0.9729,0.74512,0.96751,0.4733,0.96234,0.0001486,0.0001486,0.0001486
45,543.873,0.80297,0.39406,0.89977,0.91306,0.94237,0.97084,0.7411,0.96482,0.47966,0.96135,0.0001288,0.0001288,0.0001288
46,555.308,0.79256,0.38596,0.89674,0.91853,0.95051,0.97709,0.74926,0.9593,0.46235,0.95973,0.000109,0.000109,0.000109
47,567.177,0.79665,0.38682,0.8964,0.90897,0.95197,0.97629,0.74661,0.96954,0.47306,0.9648,8.92e-05,8.92e-05,8.92e-05
48,578.434,0.793,0.3836,0.89823,0.9052,0.95411,0.97618,0.74928,0.95646,0.46075,0.96049,6.94e-05,6.94e-05,6.94e-05
49,590.244,0.77864,0.37758,0.89746,0.90597,0.94771,0.97465,0.74869,0.96032,0.46288,0.96063,4.96e-05,4.96e-05,4.96e-05
50,601.543,0.77526,0.37905,0.89462,0.90173,0.94995,0.97198,0.74682,0.95889,0.46052,0.95912,2.98e-05,2.98e-05,2.98e-05
